Date,Name,Tweets,Open_TCSG,High_TCSG,Low_TCSG,Close_TCSG,Volume_TCSG
2019-12-19,Oleg Tinkov,"ЦБ понижает ключевую ставку, вслед за этим снижаются ставки по депозитам. И теперь перед нами как и во всем мире вс… https://t.co/azLJh4VAD9",1325.3665811225326,1339.5618896484375,1316.96930307985,1339.5618896484375,203029
2019-12-18,,,1308.3722432558422,1327.166024908883,1300.9746376770192,1321.9677734375,117307
2019-12-17,,,1304.373544374905,1313.5704883272845,1290.3781206027722,1299.1751708984375,90575
2019-12-16,,,1265.586186711238,1304.5734389085035,1250.5910897122894,1299.5750732421875,244478
2019-12-13,,,1248.591791305199,1257.3889640272819,1204.0063922587508,1256.7890625,92558
2019-12-12,,,1243.5932486715587,1244.5929217010375,1223.79967387572,1234.59619140625,176037
2019-12-11,,,1242.5936327107304,1264.3865545664107,1218.6014789013516,1234.3963623046875,102807
2019-12-10,,,1229.5979691079742,1247.5920857290664,1220.600910797428,1238.3951416015625,158239
2019-12-09,,,1207.4051724262372,1229.5978655781696,1180.0141061365455,1227.9984130859375,89712
2019-12-06,,,1169.417713628191,1191.610409010687,1166.618579962644,1185.812255859375,125107
2019-12-05,,,1144.225845028654,1173.8161453956525,1136.8282394293014,1167.4183349609375,72013
2019-12-04,,,1134.6289539002535,1139.6273193359375,1126.2316755622232,1139.6273193359375,34008
2019-12-03,,,1160.6204858764754,1179.4143892403,1129.630619328525,1132.629638671875,127204
2019-12-02,Oleg Tinkov,Мы уже 3 года системно занимаемся образовательными проектами: у нас есть собственные кафедры или партнерство с кафе… https://t.co/fJmnssbvcU,1176.6152737156876,1199.2078620419538,1174.416041642402,1175.6156005859375,62359
2019-11-29,,,1204.206133669306,1204.6060272960651,1174.2159421183665,1185.412353515625,87847
2019-11-28,,,1207.2050908533647,1207.2050908533647,1190.6105434531282,1193.8094482421875,117215
2019-11-27,,,1207.605177323618,1207.8050631434594,1199.407906223488,1202.6068115234375,70640
2019-11-26,,,1206.8052764616914,1211.6037559906474,1196.6086600006645,1197.408447265625,128226
2019-11-25,,,1208.8046178771785,1219.8010215602606,1200.4074617798747,1205.605712890625,52066
2019-11-22,,,1219.001391857627,1219.2012776637112,1196.0089107592298,1201.6070556640625,80217
2019-11-21,,,1219.4013552104525,1221.0008078417834,1205.6058169505936,1210.404296875,63789
2019-11-20,,,1249.5913586511585,1251.590704825,1214.602800608926,1215.402587890625,126020
2019-11-19,,,1273.5835738016847,1273.5835738016847,1235.1961010172784,1240.5943603515625,128523
2019-11-18,Oleg Tinkov,"Привет! Россия стала частью цивилизованной финансовой системы мира, и как в развитых странах, депозит стал инструме… https://t.co/srvgI5UmDz",1274.383253340044,1275.382926390348,1249.7911986782374,1252.59033203125,43925
2019-11-15,,,1275.5828078125,1311.9709311248305,1248.7915213440895,1249.59130859375,33733
2019-11-14,,,1248.1917416742062,1275.9827011839736,1234.7960984426607,1260.78759765625,84600
2019-11-13,,,1248.1916938413833,1248.1916938413833,1231.1972526991385,1238.9947509765625,33644
2019-11-12,,,1227.5985538481145,1241.5939771004546,1223.0000820427126,1235.196044921875,27403
2019-11-11,,,1229.398085298203,1229.5979711154864,1215.802432871294,1221.6005859375,7094
2019-11-08,,,1225.7991469151746,1250.7909752410458,1215.6025297703834,1220.80078125,20250
2019-11-07,,,1219.6011394025384,1225.3992919921875,1200.807236966797,1225.3992919921875,38222
2019-11-06,,,1209.404541015625,1213.6031191395305,1189.6109652191444,1209.404541015625,21717
2019-11-05,Oleg Tinkov,Очередная Дача открыла свои гостеприимные двери! Прямо на берегу Тихого океана в Кабо Сан Лукас. Ждем вас в гости!… https://t.co/7PDmLNnzP7,1217.4019750368616,1219.6012070899415,1197.0086189712424,1197.6083984375,61347
